transaction_id,customer_id,transaction_date,online_order,order_status,list_price,standard_cost,product_id
1,2950,2017-02-25,False,Approved,71.49,53.62,22
2,3120,2017-05-21,True,Approved,2091.47,388.92,23
3,402,2017-10-16,False,Approved,1793.43,248.82,83
4,3135,2017-08-31,False,Approved,1198.46,381.1,166
5,787,2017-10-01,True,Approved,1765.3,709.48,148
6,2339,2017-03-08,True,Approved,1538.99,829.65,62
7,1542,2017-04-21,True,Approved,60.34,45.26,56
8,2459,2017-07-15,False,Approved,1292.84,13.44,45
9,1305,2017-08-10,False,Approved,1071.23,380.74,131
10,3262,2017-08-30,True,Approved,1231.15,161.6,39
11,1986,2017-01-17,False,Approved,574.64,459.71,27
12,2783,2017-01-05,True,Approved,71.16,56.93,120
13,1243,2017-02-26,True,Approved,1057.51,154.4,80
14,2717,2017-09-10,False,Approved,1661.92,1479.11,46
15,247,2017-06-11,False,Approved,1765.3,709.48,40
16,2961,2017-10-10,False,Approved,2091.47,388.92,23
17,2426,2017-04-03,False,Approved,1555.58,818.01,150
18,1842,2017-06-02,False,Approved,1311.44,1167.18,76
19,2268,2017-04-06,True,Approved,1292.84,13.44,110
20,3002,2017-01-28,True,Approved,1538.99,829.65,62
21,1582,2017-10-09,False,Approved,499.53,388.72,64
22,595,2017-06-29,True,Approved,1793.43,248.82,83
23,2001,2017-04-08,True,Approved,1793.43,248.82,83
24,515,2017-10-18,False,Approved,1538.99,829.65,155
25,2822,2017-06-11,False,Approved,1362.99,57.74,168
26,2596,2017-01-10,False,Approved,1469.44,596.55,126
27,2666,2017-04-11,True,Approved,1469.44,596.55,126
28,76,2017-12-23,False,Approved,574.64,459.71,51
29,3368,2017-10-13,True,Approved,360.4,270.3,139
30,1173,2017-03-15,False,Approved,642.31,513.85,172
31,2810,2017-09-05,True,Approved,1198.46,381.1,166
32,3214,2017-02-18,False,Approved,1403.5,954.82,20
33,1272,2017-03-20,False,Approved,1538.99,829.65,62
34,2003,2017-02-28,True,Approved,1720.7,1531.42,186
35,2171,2017-08-20,False,Approved,544.05,376.84,9
36,3356,2017-07-07,False,Approved,1415.01,1259.36,174
37,1040,2017-01-09,False,Approved,1842.92,1105.75,42
38,2916,2017-12-06,False,Approved,71.49,53.62,22
39,427,2017-09-12,False,Approved,1231.15,161.6,39
40,2448,2017-11-28,True,Approved,544.05,376.84,9
41,2570,2017-05-08,True,Approved,1769.64,108.76,94
42,3398,2017-05-14,False,Approved,2083.94,675.03,149
43,488,2017-03-17,False,Cancelled,642.31,513.85,144
44,165,2017-12-22,False,Approved,1289.85,74.51,98
45,2787,2017-06-07,True,Approved,1894.19,598.76,111
46,3053,2017-06-20,False,Approved,1163.89,589.27,129
47,475,2017-05-07,True,Approved,1057.51,154.4,80
48,1305,2017-06-10,True,Approved,1151.96,649.49,153
49,1251,2017-06-17,False,Approved,235.63,125.07,161
50,3103,2017-05-10,False,Approved,642.7,211.37,75
51,3108,2017-03-24,False,Approved,1240.31,795.1,146
52,857,2017-11-27,False,Approved,1635.3,993.66,180
53,3455,2017-12-21,True,Approved,227.88,136.73,28
54,2549,2017-02-09,True,Approved,499.53,388.72,64
55,3140,2017-09-18,False,Approved,363.01,290.41,1
56,3406,2017-11-14,False,Approved,1720.7,1531.42,99
57,2294,2017-08-30,True,Approved,1635.3,993.66,177
58,1031,2017-11-14,False,Approved,100.35,75.26,171
59,993,2017-02-15,True,Approved,1458.17,874.9,175
60,3473,2017-12-18,False,Approved,1977.36,1759.85,119
61,1839,2017-02-24,False,Approved,12.01,7.21,2
62,1824,2017-12-18,True,Approved,1311.44,1167.18,76
63,368,2017-12-17,False,Approved,1403.5,954.82,81
64,2000,2017-07-08,False,Approved,499.53,388.72,3
65,825,2017-05-16,True,Approved,1216.14,1082.36,67
66,3315,2017-02-23,True,Approved,235.63,125.07,161
67,75,2017-07-03,True,Approved,71.49,53.62,22
68,1498,2017-09-30,True,Approved,1129.13,677.48,25
69,1612,2017-10-21,True,Approved,2091.47,388.92,84
70,2192,2017-05-06,True,Approved,499.53,388.72,64
71,419,2017-01-03,False,Approved,1292.84,13.44,110
72,3307,2017-05-09,True,Approved,1769.64,108.76,147
73,2430,2017-07-23,False,Approved,60.34,45.26,56
74,1506,2017-01-21,True,Approved,183.86,137.9,113
75,1346,2017-06-20,False,Approved,912.52,141.4,116
76,927,2017-03-10,False,Approved,60.34,45.26,56
77,763,2017-06-02,False,Approved,175.89,131.92,104
78,2397,2017-11-07,False,Approved,1073.07,933.84,151
79,102,2017-09-12,True,Approved,1179.0,707.4,163
80,2884,2017-12-16,False,Approved,958.74,748.9,44
81,759,2017-10-07,True,Approved,792.9,594.68,159
82,773,2017-04-27,True,Approved,1071.23,380.74,55
83,3398,2017-04-01,True,Approved,235.63,125.07,4
84,3297,2017-11-02,True,Approved,1311.44,1167.18,76
85,2434,2017-02-13,True,Approved,290.62,215.14,158
86,1861,2017-07-19,False,Approved,1403.5,954.82,20
87,1233,2017-05-23,False,Approved,499.53,388.72,64
88,1390,2017-08-06,False,Approved,752.64,205.36,72
89,2682,2017-04-04,True,Approved,12.01,7.21,2
